Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (MM-DD-YYYY),Cataloger
TA_085,IT_064,,IIMURA Takahiko,飯村隆彦,The Camera Massage,カメラ・マッサージ,Sound by Takahiko Iimura,,,,Iimura Takahiko,1968,BW,Sound,00:06:00,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,,,,,"At first, it was supposed to be a series, but not a series. ",,CCJ
TA_085,IT_065,,IIMURA Takahiko,飯村隆彦,The Camera Massage,カメラ・マッサージ,Sound by Takahiko Iimura,,,,Iimura Takahiko,,BW,Sound,00:06:00,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_086,IT_072,,IIMURA Takahiko,飯村隆彦,The Fog,きり,Blow-up from R. 8mm,,,,Iimura Takahiko,1970,BW,Silent,00:03:00,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,16fps,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_086,IT_171,,IIMURA Takahiko,飯村隆彦,The Fog,きり,,,,,Iimura Takahiko,,,Silent,,Film,16mm,,,Duplicate Negative / デュープ・ネガ　,Negative / ネガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_087,IT_164,,IIMURA Takahiko,飯村隆彦,The Pacific Ocean,パシフィック・オーシャン,,,,,Iimura Takahiko,1962,,Silent,,Film,16mm,,,Master / マスター,Negative / ネガ,,16fps,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_087,IT_165,,IIMURA Takahiko,飯村隆彦,The Pacific Ocean,パシフィック・オーシャン,NG with streaks. Print made with Yale Lab,,,,Iimura Takahiko,,,,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_088,IT_204,,IIMURA Takahiko,飯村隆彦,TIMED 1.2.3,"タイムド 1,2,3",,,,,Iimura Takahiko,,BW,Sound,00:10:00,Film,16mm,,,Master / マスター,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Metal / メタル缶; W/TRK,,,,,,
TA_089,IT_202,,IIMURA Takahiko,飯村隆彦,TIME LENGTH 1.2.3,タイム・レングス,Sound by Takahiko Iimura,,,,Iimura Takahiko,,BW,Sound,00:11:00,Film,16mm,,,Master / マスター,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Metal / メタル缶; Time Length No. 1-4 Printed in Berlin,,,,,,CCJ
TA_089,IT_203,,IIMURA Takahiko,飯村隆彦,TIME LENGTH 1.2.3,タイム・レングス,Sound by Takahiko Iimura,,,,Iimura Takahiko,,BW,Sound,00:09:00,Film,16mm,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,"Metal / メタル缶; Time Length 1.2.3 16mm, b/w, sound, 312 ft. 9 min, posi",,,,"Part of Moels, Reels 1 & 2.",,CCJ
TA_090,IT_107,4,IIMURA Takahiko,飯村隆彦,Time Tunnel,タイム・トンネル,,,,,Iimura Takahiko,1971,,,,Video,U-matic,,,Submaster / サブマスター,,,,,,,,,,,,,,,,,,,,,,,,,,.,,"[Copy from 1/2"" open reel]",,CCJ
